codigo_interno,codigo_fornecedor,categoria,marca,descricao,genero,preco_custo,preco_venda,qtd_variantes,estoque_total
CAL038,AMERICAN-PDF039,CALCA,TEXAS FARM,JEANS,FEMININO,161.41,355.0,1,1
CAL039,1096,CALCA,MISS COUNTRY,JEANS,FEMININO,379.0,840.0,1,1
CAL040,CCF-STR/CLR-36,CALCA,CLASSIC,JEANS,FEMININO,119.0,260.0,1,1
CAL041,1098,CALCA,MISS COUNTRY,JEANS SAVANNA,FEMININO,360.4,790.0,1,1
CAL042,1070,CALCA,MISS COUNTRY,JEANS BASIC,FEMININO,154.4,340.0,1,1
JAQ001,2096,JAQUETA,MISS COUNTRY,JEANS,FEMININO,278.0,610.0,1,1
CAL043,CCF-STR/CLR-42,CALCA,CLASSIC,JEANS,FEMININO,119.0,260.0,1,1
CAL044,STYLE THREE HARD-PDM003,CALCA,TEXAS FARM,JEANS,FEMININO,120.56,265.25,1,1
CAL045,CCM-LON-42,CALCA,CLASSIC,JEANS,MASCULINO,109.0,240.0,1,1
CAL046,CCM-LON-36/46,CALCA,CLASSIC,JEANS,MASCULINO,109.0,240.0,1,1
CAL047,CCM-LON-35/44,CALCA,CLASSIC,JEANS,MASCULINO,109.0,240.0,1,1
CAL048,CCM-LON-33/42,CALCA,CLASSIC,JEANS,MASCULINO,109.0,240.0,1,1
CAL049,CCM-LON-40/50,CALCA,CLASSIC,JEANS,MASCULINO,109.0,240.0,1,1
CAL050,1095,CALCA,MISS COUNTRY,JEANS TEXAS,FEMININO,252.2,560.0,1,1
CAL051,1095,CALCA,MISS COUNTRY,JEANS TEXAS,FEMININO,252.2,560.0,1,1
CAL052,1099,CALCA,MISS COUNTRY,JEANS DESERT SOUL,FEMININO,381.0,840.0,1,1
JAQ002,2096,JAQUETA,MISS COUNTRY,JEANS,FEMININO,278.0,610.0,1,1
JAQ003,2097,JAQUETA,MISS COUNTRY,JEANS /COM STRASS,FEMININO,350.1,769.0,1,1
CAL053,CCM-LON-30/38,CALCA,CLASSIC,JEANS,MASCULINO,109.0,240.0,1,1
CAL054,MB31534001-CI,CALCA,CINCH,JEANS,MASCULINO,454.0,910.0,1,1
CAL055,MB98034006,CALCA,CINCH SILVER LABEL 2,JEANS,MASCULINO,330.0,725.0,1,2
CAL056,10008403,CALCA,ARIAT,JEANS,MASCULINO,468.0,940.0,1,1
CAL057,MB90633006,CALCA,CINCH BLACK LABEL 2,JEANS,MASCULINO,390.0,860.0,1,1
CAL058,ROUTE-PDM025,CALCA,TEXAS FARM,JEANS,MASCULINO,123.41,270.0,1,1
CAL059,STONED-PDM027,CALCA,TEXAS FARM,JEANS,MASCULINO,135.75,298.0,1,1
CAL060,STYLE THREE HARD-PDM003,CALCA,TEXAS FARM,JEANS,MASCULINO,120.56,265.0,1,1
CAL061,CCF-STR/CLR-38,CALCA,CLASSIC,JEANS,FEMININO,119.0,260.0,1,1
CAL062,1095,CALCA,MISS COUNTRY,JEANS TEXAS,FEMININO,252.2,560.0,1,1
CAL063,7013,CALCA,COUNTRY LAND,JEANS,FEMININO,0,249.75,1,1
CAL064,1070,CALCA,MISS COUNTRY,JEANS BASIC,FEMININO,154.4,340.0,1,1
CAL065,21M4CHD60,CALCA,WRANGLER,JEANS LYCRA,FEMININO,144.9,318.78,1,1
CM059,2089,CAMISA,MISS COUNTRY,LEGACY,FEMININO,308.9,620.0,1,1
CM060,2080,CAMISA,MISS COUNTRY,WILDFLOWER,FEMININO,269.8,540.0,1,1
CAL066,CCF-STR/CLR-40,CALCA,CLASSIC,JEANS,FEMININO,119.0,260.0,1,1
CAL067,STYLE FOUR HARD-PMD004,CALCA,TEXAS FARM,JEANS,MASCULINO,120.56,265.25,1,1
CAL068,1088,CALCA,MISS COUNTRY,JEANS WILDFLOWER,FEMININO,360.4,720.0,1,1
CM061,CMLLO-CL-XDF-M,CAMISA,CLASSIC,MANGA LONGA,MASCULINO,119.0,260.0,1,1
CM062,CMCEX-CL-XDF-M,CAMISA,CLASSIC,MANGA CURTA,MASCULINO,119.0,260.0,1,1
CS077,,CAMISA,CLASSIC,POLO,MASCULINO,84.0,185.0,1,1
CS078,,CAMISA,CLASSIC,POLO,MASCULINO,84.0,185.0,1,1
CS079,,CAMISA,CLASSIC,POLO,MASCULINO,76.0,167.0,1,1
CS080,,CAMISA,CLASSIC,POLO,MASCULINO,76.0,167.0,1,1
CS081,,CAMISA,CLASSIC,POLO,MASCULINO,76.0,167.0,1,1
CS082,,CAMISA,CLASSIC,POLO,MASCULINO,76.0,167.0,1,1
CS083,,CAMISA,CLASSIC,POLO,MASCULINO,84.0,185.0,1,1
CS084,,CAMISA,CLASSIC,POLO,MASCULINO,84.0,185.0,1,1
CM063,CMLFLI-CL/DT,CAMISA,CLASSIC,MANGA LONGA,FEMININO,104.0,230.0,2,2
CM064,CMLFLI-CL/DT,CAMISA,CLASSIC,MANGA LONGA,FEMININO,104.0,230.0,1,1
CM065,CMFLO-CL-XDF-G,CAMISA,CLASSIC,MANGA LONGA,FEMININO,104.0,230.0,1,1
CM066,CMFLO-CL-XDF-GG,CAMISA,CLASSIC,MANGA LONGA,FEMININO,104.0,230.0,1,1
CM067,CMLLO-CL-XDF-G,CAMISA,CLASSIC,MANGA LONGA,FEMININO,104.0,230.0,1,1
CM068,CMLFLI-CL/DT,CAMISA,CLASSIC,MANGA LONGA,FEMININO,104.0,230.0,1,1
CM069,CMLFLI-CL/DT,CAMISA,CLASSIC,MANGA LONGA,FEMININO,104.0,230.0,1,1
CM070,CMCEX-CL-XDF-PP,CAMISA,CLASSIC,MANGA CURTA,MASCULINO,109.0,240.0,1,1
CM071,CMCEX-CL-XDF-PP,CAMISA,CLASSIC,MANGA CURTA,MASCULINO,109.0,240.0,1,1
CM072,CMCLO-CL-XDF-PP,CAMISA,CLASSIC,MANGA CURTA,MASCULINO,109.0,240.0,1,1
CM073,CMCEX-CL-XDF-P,CAMISA,CLASSIC,MANGA CURTA,MASCULINO,109.0,240.0,1,1
CM074,CMLEX-CL-XDF-P,CAMISA,CLASSIC,MANGA CURTA,MASCULINO,109.0,240.0,1,1
CM075,CMCEX-CL-XDF-P,CAMISA,CLASSIC,MANGA CURTA,MASCULINO,109.0,240.0,1,1
CM076,CMLLO-CL-XDF-PP,CAMISA,CLASSIC,MANGA LONGA,MASCULINO,119.0,260.0,1,1
CM077,CMLEX-CL-XDF-M,CAMISA,CLASSIC,MANGA LONGA,MASCULINO,119.0,260.0,1,1
CM078,,CAMISA,CLASSIC,MANGA CURTA,MASCULINO,109.0,240.0,1,1
CM079,CMCEX-CL-XDF-M,CAMISA,CLASSIC,MANGA CURTA,MASCULINO,109.0,240.0,1,1
CM080,CMCEX-CLXDF-M,CAMISA,CLASSIC,MANGA CURTA,MASCULINO,109.0,240.0,1,1
CM081,CMCEX-CL-XDF-GG,CAMISA,CLASSIC,MANGA CURTA,MASCULINO,109.0,240.0,1,1
CM082,CMLEX-CL-XDF-GG,CAMISA,CLASSIC,MANGA LONGA,MASCULINO,119.0,260.0,1,1
CAL069,FREE SOUL-PDF056,CALCA,TEXAS FARM,JEANS,FEMININO,161.41,355.0,1,1
CAL070,DAILY BASIC-PDF051,CALCA,TEXAS FARM,JEANS,FEMININO,115.0,255.0,1,1
CAL071,DAILY BASIC-PDF051,CALCA,TEXAS FARM,JEANS,FEMININO,115.0,255.0,1,1
JAQ004,2097,JAQUETA,MISS COUNTRY,JEANS /COM STRASS,FEMININO,350.1,769.0,1,1
VEST001,3399,VESTIDO,MISS COUNTRY,VESTIDO OAK,FEMININO,329.0,649.9,1,1
TSH012,3398,TSHIRT,MISS COUNTRY,DARLING,FEMININO,133.8,266.6,1,1
TSH013,3390,TSHIRT,MISS COUNTRY,ETHINIC,FEMININO,123.0,247.0,1,1
CAL072,13M68PW36UN,CALCA,WRANGLER,COWBOY CUT,MASCULINO,159.9,351.78,1,1
CAL073,MB90633006,CALCA,CINCH BLACK LABEL 2,JEANS,MASCULINO,390.0,860.0,1,1
CAL074,1070,CALCA,MISS COUNTRY,JEANS BASIC,FEMININO,154.4,340.0,1,1
SHORTBABY001,SH-JSST-CL,SHORT BABY,CLASSIC,JEANS,UNISSEX,53.0,116.9,1,2
SHORTBABY002,SH-ST-CL,SHORT BABY,CLASSIC,JEANS,UNISSEX,53.0,116.9,1,1
SHORTBABY003,SH-JE-CL,SHORT BABY,CLASSIC,JEANS,UNISSEX,53.0,116.9,1,1
JAQ005,RIME-IN023-LOTAD-1339,JAQUETA,TEXAS FARM,PUFFER,MASCULINO,234.56,469.0,1,1
JAQ006,RIME-IN023-LOTAD-1339,JAQUETA,TEXAS FARM,PUFFER,MASCULINO,234.56,469.0,1,1
JAQ007,RIME-IN023-LOTAD-1339,JAQUETA,TEXAS FARM,PUFFER,MASCULINO,234.56,469.0,1,1
COL001,DUSK-IN020,COLETE,TEXAS FARM,PUFFER,MASCULINO,216.5,435.0,1,1
COL002,DUSK-IN020,COLETE,TEXAS FARM,PUFFER,MASCULINO,216.5,435.0,1,1
ML002,RACE START-MTC004,MOLETOM,TEXAS FARM,GOLA CARECA,UNISSEX,132.91,265.0,1,1
ML003,RACE START-MTC004,MOLETOM,TEXAS FARM,GOLA CARECA,UNISSEX,132.91,265.0,1,1
ML004,FEELING-MTC003,MOLETOM,TEXAS FARM,GOLA CARECA,UNISSEX,123.41,246.0,1,1
ML005,MT036,MOLETOM,TEXAS FARM,COM CAPUZ,UNISSEX,180.41,360.0,1,1
ML006,33759,MOLETOM,TOMAHAWK,COM CAPUZ,FEMININO,150.0,330.0,1,1
ML007,ALLIANCE-MT139,MOLETOM,TEXAS FARM,COM CAPUZ,UNISSEX,180.41,360.0,1,1
JAQ008,RIME-IN023-LOTAD-1339,JAQUETA,TEXAS FARM,PUFFER,MASCULINO,234.56,469.0,1,1
JAQ009,,JAQUETA,PAC CUERS,COURO,FEMININO,460.0,920.0,1,1
JAQ010,,JAQUETA,PAC CUERS,COURO,FEMININO,460.0,920.0,1,1
VEST002,3399,VESTIDO,MISS COUNTRY,VESTIDO OAK,FEMININO,329.0,649.9,1,1
JAQ011,,JAQUETA,PAC CUERS,COURO,MASCULINO,460.0,920.0,1,1
JAQ012,,JAQUETA,PAC CUERS,COURO,MASCULINO,460.0,920.0,1,1
JAQ013,,JAQUETA,PAC CUERS,COURO,MASCULINO,460.0,920.0,1,1
JAQ014,,JAQUETA,PAC CUERS,COURO,MASCULINO,460.0,920.0,1,1
PERF001,,PERFUME ARABE,,SABAH AL WARD-TRADICIONAL,FEMININO,77.25,280.0,1,2
PERF002,,PERFUME ARABE,,SABAH AL WARD-GARDEN OF EDEN,FEMININO,187.9,419.0,1,2
PERF003,,PERFUME ARABE,,CLUB DE NUIT ICONIC,MASCULINO,164.8,329.6,1,1
PERF004,,PERFUME ARABE,,SHAHEEN SILVER PRATA,MASCULINO,123.6,310.0,1,2
PERF005,,PERFUME ARABE,,FAKHAR ROSE,FEMININO,144.2,349.9,1,1
PERF006,,PERFUME ARABE,,FAKHAR EXTRAIT GOLDEN,UNISSEX,97.85,349.9,1,1
PERF007,,PERFUME ARABE,,FAKHAR BLACK,MASCULINO,144.2,349.9,1,1
PERF008,,PERFUME ARABE,,QUEEN OF ARABIA,FEMININO,247.2,549.9,1,1
PERF009,,PERFUME ARABE,,ROYAL AMBER,FEMININO,257.5,590.0,1,1
PERF010,,PERFUME GRIFE,,SCANDAL,FEMININO,381.1,765.0,1,1
PERF011,,PERFUME GRIFE,,ANIMALE FOR MEN,MASCULINO,113.3,359.0,1,1
PERF012,,PERFUME ARABE,,ASAD ZANZIBAR,MASCULINO,118.45,280.0,1,1
PERF013,,PERFUME ARABE,,AFNAN 9 AM POUR FEMME,FEMININO,118.45,280.0,1,1
PERF014,,PERFUME ARABE,,AFNAN 9 PM REBEL,MASCULINO,118.45,280.0,1,1
PERF015,,PERFUME ARABE,,BADEE AL OUD NOBLE BLUSH,FEMININO,113.0,349.0,1,1
PERF016,,PERFUME ARABE,,BADEE AL OUD AMETHYST,UNISSEX,113.0,349.0,1,1
PERF017,,PERFUME ARABE,,VULCAN FEU,UNISSEX,113.0,439.9,1,1
PERF018,,PERFUME ARABE,,TERIAQ,FEMININO,164.0,439.9,1,1
PERF019,,PERFUME ARABE,,SABAH AL WARD SUGAR,FEMININO,113.0,349.9,1,1
PERF020,,PERFUME ARABE,,YARA ROSE,FEMININO,128.75,259.0,1,2
PERF021,,PERFUME ARABE,,THARWAH GOLD,FEMININO,118.9,399.9,1,1
PERF022,,PERFUME ARABE,,KHANJAR,MASCULINO,187.0,439.0,1,1
PERF023,,PERFUME GRIFE,,VERSACE EROS FLAME,MASCULINO,368.76,469.9,1,1
PERF024,,PERFUME GRIFE,,HUGO BOSS MAN,MASCULINO,247.0,439.0,1,1
