codigo_barras,codigo_interno,nome_produto,categoria,cor,tamanho,quantidade_atual,preco_custo,preco_venda
CAL036-AZU-40.0,CAL036,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,40.0,1,109.40,240.90
CAL048-AZU-42.0,CAL048,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,42.0,1,109.00,240.00
CAL047-AZU-44.0,CAL047,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,44.0,1,109.00,240.00
CAL046-AZU-46.0,CAL046,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,46.0,1,109.00,240.00
CAL001-AZU-48.0,CAL001,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,48.0,1,109.40,270.90
CAL049-AZU-50.0,CAL049,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,50.0,1,109.00,240.00
CAL045-AZU-52.0,CAL045,CALCA CLASSIC JEANS (MASCULINO),CALCA,AZUL ESCURO,52.0,1,109.00,240.00
CAL063-AZU-40.0,CAL063,CALCA COUNTRY LAND JEANS (FEMININO),CALCA,AZUL,40.0,1,0.00,249.75
CAL80-JEA-46.0,CAL80,CALCA KA ZOON JEANS (MASCULINO),CALCA,JEANS,46.0,1,90.00,200.00
CAL077-JEA-46.0,CAL077,CALCA KING FARM JEANS (MASCULINO),CALCA,JEANS,46.0,1,100.00,250.00
CCAL002-JEA-40.0,CCAL002,CALCA LEVIS JEANS (FEMININA),CALCA,JEANS,40.0,1,369.99,519.99
CCAL001-JEA-42.0,CCAL001,CALCA LEVIS JEANS (FEMININA),CALCA,JEANS,42.0,0,369.99,519.99
CCAL003-JEA-44.0,CCAL003,CALCA LEVIS JEANS (FEMININA),CALCA,JEANS,44.0,0,369.99,519.99
CCAL004-JEA-40.0,CCAL004,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,40.0,1,329.99,479.99
CCAL009-JEA-42.0,CCAL009,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,42.0,1,329.99,479.99
CCAL017-JEA-42.0,CCAL017,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,42.0,1,349.99,499.99
CCAL015-JEA-44.0,CCAL015,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,44.0,1,349.99,499.99
CCAL006-JEA-44.0,CCAL006,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,44.0,1,299.99,449.99
CCAL012-JEA-46.0,CCAL012,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,46.0,1,439.99,589.99
CCAL007-JEA-46.0,CCAL007,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,46.0,2,329.99,479.99
CCAL016-JEA-46.0,CCAL016,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,46.0,1,349.99,499.99
CCAL008-JEA-48.0,CCAL008,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,48.0,2,329.99,479.99
CCAL011-JEA-48.0,CCAL011,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,48.0,1,439.99,589.99
CCAL014-JEA-48.0,CCAL014,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,48.0,2,349.99,499.99
CCAL005-JEA-50.0,CCAL005,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,50.0,1,299.99,449.99
CCAL010-JEA-50.0,CCAL010,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,50.0,0,439.99,589.99
CCAL013-JEA-50.0,CCAL013,CALCA LEVIS JEANS (MASCULINO),CALCA,JEANS,50.0,2,349.99,499.99
CAL039-AZU-34.0,CAL039,CALCA MISS COUNTRY JEANS (FEMININO),CALCA,AZUL,34.0,1,379.00,840.00
CAL037-AZU-50.0,CAL037,CALCA MISS COUNTRY JEANS (FEMININO),CALCA,AZUL,50.0,1,381.00,760.00
CAL042-AZU-34.0,CAL042,CALCA MISS COUNTRY JEANS BASIC (FEMININO),CALCA,AZUL,34.0,1,154.40,340.00
CAL064-AZU-36.0,CAL064,CALCA MISS COUNTRY JEANS BASIC (FEMININO),CALCA,AZUL,36.0,0,154.40,340.00
CAL074-JEA-50.0,CAL074,CALCA MISS COUNTRY JEANS BASIC (FEMININO),CALCA,JEANS ESCURO,50.0,1,154.40,340.00
CAL052-AZU-52.0,CAL052,CALCA MISS COUNTRY JEANS DESERT SOUL (FEMININO),CALCA,AZUL,52.0,1,381.00,840.00
CAL041-AZU-42.0,CAL041,CALCA MISS COUNTRY JEANS SAVANNA (FEMININO),CALCA,AZUL,42.0,1,360.40,790.00
CAL050-AZU-40.0,CAL050,CALCA MISS COUNTRY JEANS TEXAS (FEMININO),CALCA,AZUL,40.0,1,252.20,560.00
CAL051-AZU-42.0,CAL051,CALCA MISS COUNTRY JEANS TEXAS (FEMININO),CALCA,AZUL,42.0,1,252.20,560.00
CAL062-AZU-38.0,CAL062,CALCA MISS COUNTRY JEANS TEXAS (FEMININO),CALCA,AZUL CLARO,38.0,1,252.20,560.00
CAL068-AZU-44.0,CAL068,CALCA MISS COUNTRY JEANS WILDFLOWER (FEMININO),CALCA,AZUL ESCURO/COM PEDRARIA,44.0,1,360.40,720.00
CAL096-AZU-36.0,CAL096,CALCA PWR JEANS (FEMININO),CALCA,AZUL,36.0,1,279.90,615.78
CAL097-AZU-42.0,CAL097,CALCA PWR JEANS (FEMININO),CALCA,AZUL,42.0,1,169.90,373.78
CAL026-PRE-38.0,CAL026,CALCA R20 CARGO (FEMININO),CALCA,PRETA,38.0,1,120.00,264.00
CAL025-BRA-36.0,CAL025,CALCA R20 CARGO DE BRILHO (FEMININO),CALCA,BRANCA,36.0,1,199.00,437.00
CAL79-JEA-40.0,CAL79,CALCA R20 JEANS (FEMININA),CALCA,JEANS,40.0,1,100.00,250.00
CAL076-PRE-38.0,CAL076,CALCA R20 JEANS (FEMININA),CALCA,PRETA,38.0,1,100.00,250.00
CAL81-JEA-50.0,CAL81,CALCA TEXAS FARM JEANS (FEMININA),CALCA,JEANS,50.0,1,131.00,268.18
CAL044-AZU-54.0,CAL044,CALCA TEXAS FARM JEANS (FEMININO),CALCA,AZUL CLARO,54.0,1,120.56,265.25
CAL038-AZU-36.0,CAL038,CALCA TEXAS FARM JEANS (FEMININO),CALCA,AZUL ESCURO,36.0,1,161.41,355.00
CAL069-BOR-34.0,CAL069,CALCA TEXAS FARM JEANS (FEMININO),CALCA,BORDADA,34.0,0,161.41,355.00
CAL071-JEA-44.0,CAL071,CALCA TEXAS FARM JEANS (FEMININO),CALCA,JEANS AZUL ESCURO,44.0,1,115.00,255.00
CAL070-JEA-48.0,CAL070,CALCA TEXAS FARM JEANS (FEMININO),CALCA,JEANS AZUL ESCURO,48.0,1,115.00,255.00
CAL059-AZU-36.0,CAL059,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL,36.0,1,135.75,298.00
CAL058-AZU-38.0,CAL058,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL,38.0,1,123.41,270.00
CAL032-AZU-44.0,CAL032,CALCA TEXAS FARM JEANS (MASCULINO),CALCA,AZUL,44.0,0,120.56,265.25
